objectid;type;address;polygonid;scale;angle;globalid;geo_shape;geo_point_2d
996;public;624;0;1.0;0.0;{6AF14E99-C009-4E7D-97CD-FD2A4ADD518D};"{""type"": ""Point"", ""coordinates"": [-79.03977006545767, 35.95219767635896]}";"35.9521976764; -79.0397700655"
1005;;;0;1.0;0.0;{69DD6840-9CE5-4F86-BAA0-669817B140F0};"{""type"": ""Point"", ""coordinates"": [-79.03607090208315, 35.96568898338083]}";"35.9656889834; -79.0360709021"
1018;public;;0;1.0;0.0;{7A8900FB-F984-4A9B-85E8-25C3E9286A08};"{""type"": ""Point"", ""coordinates"": [-79.02297100372702, 35.90803955211373]}";"35.9080395521; -79.0229710037"
1029;;;0;1.0;0.0;{2C17C5ED-51B8-4EBA-930F-F05D053D0155};"{""type"": ""Point"", ""coordinates"": [-79.01866836128866, 35.942756719451026]}";"35.9427567195; -79.0186683613"
1039;public;206;0;1.0;0.0;{AC47254C-784C-4619-A6C4-26B69C3973DA};"{""type"": ""Point"", ""coordinates"": [-79.01709945177504, 35.954003382156976]}";"35.9540033822; -79.0170994518"
1048;;;0;1.0;0.0;{F964C36E-7CAA-4B3E-A8B6-4D086EEB3224};"{""type"": ""Point"", ""coordinates"": [-79.00716619480055, 35.904285170781]}";"35.9042851708; -79.0071661948"
1060;public;1019;0;1.0;0.0;{3382E114-3E85-494B-A05A-68A2386FB8FA};"{""type"": ""Point"", ""coordinates"": [-79.01382435894277, 35.91491205869162]}";"35.9149120587; -79.0138243589"
10;public;133;0;1.0;0.0;{00D97EC7-4E00-468D-9BEB-182B5FE9E9B7};"{""type"": ""Point"", ""coordinates"": [-79.04868190040027, 35.960667058995455]}";"35.960667059; -79.0486819004"
11;public;;0;1.0;0.0;{CD17A8F9-2BC7-4E8D-90A6-BCB22681525B};"{""type"": ""Point"", ""coordinates"": [-79.04794478541963, 35.96160606415038]}";"35.9616060642; -79.0479447854"
16;public;106;0;1.0;0.0;{2840016B-1672-482C-81C9-E88105BF97EB};"{""type"": ""Point"", ""coordinates"": [-79.04956279235113, 35.95886751187895]}";"35.9588675119; -79.0495627924"
